Location,2011__Suicide Deaths,"2011__Suicide Rate per 100,000 Individuals",2012__Suicide Deaths,"2012__Suicide Rate per 100,000 Individuals",2013__Suicide Deaths,"2013__Suicide Rate per 100,000 Individuals",2014__Suicide Deaths,"2014__Suicide Rate per 100,000 Individuals",2015__Suicide Deaths,"2015__Suicide Rate per 100,000 Individuals",2016__Suicide Deaths,"2016__Suicide Rate per 100,000 Individuals",2017__Suicide Deaths,"2017__Suicide Rate per 100,000 Individuals",2018__Suicide Deaths,"2018__Suicide Rate per 100,000 Individuals",2019__Suicide Deaths,"2019__Suicide Rate per 100,000 Individuals",2020__Suicide Deaths,"2020__Suicide Rate per 100,000 Individuals",2021__Suicide Deaths,"2021__Suicide Rate per 100,000 Individuals"
United States,39518,12.3,40600,12.6,41149,12.6,42826,13,44193,13.3,44965,13.5,47173,14,48344,14.2,47511,13.9,45979,13.5,48183,14.1
Alabama,654,13.2,724,14.7,721,14.4,715,14.5,750,14.9,788,15.7,836,16.6,823,16.5,804,16.3,793,16,827,15.8
Alaska,143,20,168,23,171,23.2,167,22.1,201,26.9,193,25.8,200,27,184,24.6,210,28.5,204,27.5,220,30.8
Arizona,1160,17.8,1156,17.3,1163,17.5,1244,18,1276,18.2,1271,17.7,1327,18.2,1438,19.2,1419,18.7,1363,17.6,1475,19.5
Arkansas,462,16,485,16.3,516,17.3,515,17.3,577,19.1,555,18.2,631,20.8,554,18.3,548,18,583,19,618,20.6
California,3996,10.4,3893,10,4025,10.2,4214,10.5,4167,10.3,4294,10.5,4312,10.5,4491,10.9,4436,10.7,4144,10,4148,10.1
Colorado,913,17.5,1052,19.7,1007,18.6,1083,19.9,1093,19.5,1168,20.5,1181,20.3,1282,21.9,1312,22.1,1302,21.5,1384,22.8
Connecticut,370,9.8,368,9.9,330,8.7,379,9.8,384,9.9,397,10.1,405,10.5,419,10.6,435,11.4,364,9.3,401,10
Delaware,105,11,125,13.2,122,12.5,126,13.2,122,12.6,119,11.5,112,11.6,113,11.4,111,11.3,124,12.3,137,13.6
District of Columbia,37,5.5,37,5.7,38,5.7,52,7.8,34,4.9,40,5.2,47,6.6,54,7.5,44,6.2,38,5.5,46,6.2
Florida,2880,13.9,3002,14.3,2928,13.8,3035,13.9,3205,14.4,3143,14,3227,14,3567,15.2,3465,14.5,3135,13.2,3351,14
Georgia,1157,11.7,1168,11.7,1212,12,1295,12.6,1317,12.7,1409,13.3,1451,13.6,1569,14.6,1585,14.6,1491,13.7,1676,15.3
Hawaii,181,12.8,190,13.1,171,11.8,204,13.8,201,13.5,174,12.1,227,15.2,176,11.9,224,15.5,184,12.9,202,13.7
